StepID,DOY,Time1,Time2,Hours,StepLength,SL_Hour,Pack,,
121,5,4/1/2022 7:00,4/1/2022 11:00,4,11.9402264,2.985056601,Roosevelt,,
122,5,4/1/2022 11:00,4/1/2022 15:01,4.016666667,3969.112079,992.2780198,Roosevelt,,
123,5,4/1/2022 15:01,4/1/2022 19:00,3.983333333,4931.817074,1232.954269,Roosevelt,,
124,5,4/1/2022 19:00,4/1/2022 23:01,4.016666667,1381.849803,345.4624507,Roosevelt,,
125,5,4/1/2022 23:01,5/1/2022 3:01,4,2673.638661,668.4096653,Roosevelt,,
126,6,5/1/2022 3:01,5/1/2022 7:00,3.983333333,29.64681793,7.411704482,Roosevelt,,
127,6,5/1/2022 7:00,5/1/2022 11:00,4,1.989151484,0.497287871,Roosevelt,,
128,6,5/1/2022 11:00,5/1/2022 15:00,4,3627.869903,906.9674757,Roosevelt,,
129,6,5/1/2022 23:00,6/1/2022 3:00,4,891.1645969,222.7911492,Roosevelt,,
130,7,6/1/2022 3:00,6/1/2022 7:00,4,1032.789937,258.1974841,Roosevelt,,
131,7,6/1/2022 7:00,6/1/2022 11:00,4,100.6526169,25.16315423,Roosevelt,,
132,7,6/1/2022 11:00,6/1/2022 15:02,4.033333333,383.7888697,95.94721744,Roosevelt,,
133,7,6/1/2022 15:02,6/1/2022 19:00,3.966666667,702.4137938,175.6034485,Roosevelt,,
134,7,6/1/2022 19:00,6/1/2022 23:01,4.016666667,2116.672025,529.1680063,Roosevelt,,
135,349,14/12/2021 23:00,15/12/2021 3:00,4,672.1365711,168.0341428,Grant Creek,,
136,350,15/12/2021 3:00,15/12/2021 7:00,4,1.226220173,0.306555043,Grant Creek,,
137,350,15/12/2021 7:00,15/12/2021 11:01,4.016666667,2156.063999,539.0159997,Grant Creek,,
138,350,15/12/2021 11:01,15/12/2021 15:01,4,9483.518002,2370.8795,Grant Creek,,
139,350,15/12/2021 15:01,15/12/2021 19:00,3.983333333,996.9848422,249.2462106,Grant Creek,,
140,350,15/12/2021 19:00,15/12/2021 23:00,4,997.8551594,249.4637898,Grant Creek,,
141,350,15/12/2021 23:00,16/12/2021 3:00,4,1.114760368,0.278690092,Grant Creek,,
142,351,16/12/2021 3:00,16/12/2021 7:00,4,3.678709223,0.919677306,Grant Creek,,
143,351,16/12/2021 7:00,16/12/2021 11:01,4.016666667,2209.509227,552.3773066,Grant Creek,,
144,351,16/12/2021 11:01,16/12/2021 15:00,3.983333333,1884.059996,471.0149989,Grant Creek,,
145,351,16/12/2021 15:00,16/12/2021 19:00,4,3279.476329,819.8690821,Grant Creek,,
146,351,16/12/2021 19:00,16/12/2021 23:00,4,1562.048023,390.5120058,Grant Creek,,
147,351,16/12/2021 23:00,17/12/2021 3:02,4.033333333,1914.047232,478.5118079,Grant Creek,,
148,352,17/12/2021 3:02,17/12/2021 7:00,3.966666667,4058.451196,1014.612799,Grant Creek,,
149,352,17/12/2021 7:00,17/12/2021 11:00,4,122.214089,30.55352225,Grant Creek,,
150,352,17/12/2021 11:00,17/12/2021 15:00,4,178.7743912,44.6935978,Grant Creek,,
151,352,17/12/2021 15:00,17/12/2021 19:00,4,2288.636529,572.1591323,Grant Creek,,
152,352,17/12/2021 19:00,17/12/2021 23:00,4,2.659355864,0.664838966,Grant Creek,,
153,352,17/12/2021 23:00,18/12/2021 3:00,4,1513.020478,378.2551194,Grant Creek,,
154,353,18/12/2021 3:00,18/12/2021 7:01,4.016666667,5573.736326,1393.434081,Grant Creek,,
155,353,18/12/2021 7:01,18/12/2021 11:01,4,1.226243611,0.306560903,Grant Creek,,
156,353,18/12/2021 11:01,18/12/2021 15:00,3.983333333,5.943171283,1.485792821,Grant Creek,,
157,353,18/12/2021 15:00,18/12/2021 19:00,4,8437.135215,2109.283804,Grant Creek,,
158,353,18/12/2021 19:00,18/12/2021 23:00,4,11536.7127,2884.178175,Grant Creek,,
159,353,18/12/2021 23:00,19/12/2021 3:00,4,13.19461449,3.298653622,Grant Creek,,
160,354,19/12/2021 3:00,19/12/2021 7:00,4,15.6157973,3.903949324,Grant Creek,,
161,354,19/12/2021 7:00,19/12/2021 11:00,4,0.542197387,0.135549347,Grant Creek,,
162,354,19/12/2021 11:00,19/12/2021 15:00,4,3554.513781,888.6284454,Grant Creek,,
163,354,19/12/2021 15:00,19/12/2021 19:00,4,1315.387182,328.8467955,Grant Creek,,
164,354,19/12/2021 19:00,19/12/2021 23:00,4,10.8624747,2.715618674,Grant Creek,,
165,354,19/12/2021 23:00,20/12/2021 3:00,4,9.586743382,2.396685845,Grant Creek,,
166,355,20/12/2021 3:00,20/12/2021 7:00,4,1.340933024,0.335233256,Grant Creek,,
167,355,20/12/2021 7:00,20/12/2021 11:02,4.033333333,195.5456622,48.88641556,Grant Creek,,
168,355,20/12/2021 11:02,20/12/2021 15:01,3.983333333,4705.725598,1176.431399,Grant Creek,,
169,355,20/12/2021 15:01,20/12/2021 19:00,3.983333333,950.3488986,237.5872246,Grant Creek,,
170,355,20/12/2021 19:00,20/12/2021 23:00,4,5.933019008,1.483254752,Grant Creek,,
171,355,20/12/2021 23:00,21/12/2021 3:00,4,9.642669329,2.410667332,Grant Creek,,
172,356,21/12/2021 3:00,21/12/2021 7:00,4,6.976102501,1.744025625,Grant Creek,,
